iter,k,mse_est,mse_true
277,171,3329.736203612109,3727.815844413929
278,41,3661.9601996771685,3599.1593241119153
279,121,3031.2190646365625,3705.025508933692
280,31,3272.3973452442,3713.220236017934
281,101,3855.9226377584373,3711.199454281038
282,121,4203.917665167088,3566.3076598032007
283,161,3793.827462199066,3668.444839287168
284,41,3475.0253738957636,3660.2899980529387
285,141,2718.2216505559722,3672.1064937441547
286,91,3191.4711716319534,3643.342607686515
287,91,3449.160262759028,3640.0684158097924
288,171,3262.567943886449,3690.977448690588
289,191,3060.8150818380764,3925.7682708916077
290,41,2963.6720729949943,3800.2005633243225
291,91,4030.2779575039362,3621.8362324219247
292,31,3809.9974084103314,3687.2948953028013
293,41,3424.4078894626728,3998.1034084260477
294,31,3258.8328628370878,4055.944255737787
295,41,3336.7086713622602,3637.262524344094
296,31,4267.528129947051,3785.8314402819387
297,181,2984.075006654142,3609.5956153599964
298,61,3938.8627878510033,3608.9004736475613
299,71,3764.4442197519147,3688.9288929880213
300,51,2736.3976655395472,3791.4014164499863
301,61,3698.5015777665785,3732.889248543436
302,91,4410.526556293504,3574.4262228415932
303,11,3075.100155777349,3774.2461170904558
304,161,4206.695286608581,3571.220694332728
305,31,3182.2646770343704,3693.1692071535977
306,121,3107.439935823629,3667.9613365491596
307,21,3921.3668724347203,3894.7944850749946
308,61,3370.0139091287733,3554.5076218383906
309,31,3325.225116324527,3611.015822152281
310,51,4273.682609837863,3607.8300862248166
311,41,3563.378008469106,3852.857151006658
312,31,3437.65172382694,3624.8057504041585
313,171,3098.583935712205,3932.801675827163
314,31,2837.2129766649923,3718.814763412692
315,51,3245.8150883121743,3650.3967454612366
316,71,3708.3303280576615,3594.522282681262
317,81,2407.8802174760003,4071.491949391941
318,141,2784.4297696141857,3684.263718467554
319,111,3465.7743959424406,3657.646270874621
320,31,3392.9357396873024,3652.3967745881223
321,181,3302.400413977218,3667.654929164135
322,181,3139.9334252146036,3847.2494385095033
323,51,3632.972633366338,3633.5354999915553
324,121,2874.4974204049254,3720.756643478355
325,61,3262.7964310842262,3659.662396989265
326,61,3378.199874455333,3578.213457079612
327,91,3663.083177925878,3604.5956946775045
328,41,3804.206877051151,3622.9050065064835
329,111,3665.522004375982,3627.0872204915104
330,31,3840.0609163552085,3588.195164893668
331,31,3444.8659131298964,3969.1421496175853
332,191,4095.641436342332,3641.2134225576365
333,101,2919.325599141245,3890.628521290139
334,71,2964.6361371406006,3784.295629540837
335,121,3853.0096292602057,3620.7850784215034
336,191,3357.625568488216,3719.3113968309917
337,61,3570.275204992427,3607.3512763602835
338,41,3701.0089557926917,3729.9499173152444
339,81,3255.6381166540136,3571.202681841045
340,191,3239.6306508562084,4204.4059599596985
341,71,3431.3952685975282,3635.495011281866
342,151,3535.0435953840315,3804.3579768381637
