b0,b1,iter
3.528481047934851,5.995799215294173,1
3.466922511009814,5.974061423604755,2
3.4569799818461777,6.035988221616639,3
3.5427316173877452,6.026086329529781,4
3.4459024112421455,5.989917489956077,5
3.5363232956144466,6.017861171126133,6
3.514667281202162,5.957420460309978,7
3.565884956476528,5.964270060711568,8
3.5598731957033656,6.058694429113555,9
3.478114355176211,5.98653607953056,10
3.615008986319457,5.980256122921735,11
3.404415745026681,6.02706649274499,12
3.4751749878977756,6.017481686561794,13
3.494910368114038,6.045321969515196,14
3.5089513170602205,5.99549237924937,15
3.4977090922460916,6.055386176693981,16
3.489691024735297,6.066976965495158,17
3.479243925291906,6.002525987348506,18
3.5056042374224323,5.965994451221122,19
3.4086313017279095,6.047431029276407,20
3.526071325476204,6.035721423910721,21
3.503280689424419,5.940636987241919,22
3.480150252916305,6.028612369093322,23
3.5303883071006297,5.9320169793332935,24
3.49140496069204,6.002791261581624,25
3.52164468465114,6.041086799841404,26
3.4814093110932114,5.985814925160172,27
3.5279430646665135,5.983702530757559,28
3.539279517120053,6.001751866605625,29
3.4529866527828,5.979498679846353,30
3.5174577607232376,5.953165849689025,31
3.4537914723220418,6.046057662182925,32
3.4956382281427296,5.964153871234487,33
3.4451287831381436,6.00141492839965,34
3.4620655176289508,6.012933245963657,35
3.444609859964617,5.998536949057245,36
3.54849209780733,6.032384514078456,37
3.50366847198391,5.965839740185451,38
3.4772354776515315,6.092319250973169,39
3.4467650913112795,5.994168082950403,40
3.446987311701065,6.049301777696091,41
3.5030763710445254,5.957823750387137,42
3.565796955899841,5.9942996548158405,43
3.4493500609301138,6.094367964794999,44
3.4647811236569077,5.989998469907899,45
3.5046324133679114,5.980192948756455,46
3.5241754653285455,6.034995836130923,47
3.443311316585908,6.039817897964226,48
3.4660589775243036,6.040155171135917,49
3.495892596121541,5.969693553493286,50
3.462508956685387,6.050828034950793,51
3.5171039887729,6.047170611851205,52
3.509767088238339,5.984186359661685,53
3.4955708902690517,5.944217287777543,54
3.473660613815944,5.969257188190702,55
3.4815375420326284,5.921361077393544,56
3.5278708109040715,6.029438884818258,57
3.4603778761696673,5.978182324765865,58
3.4691572246834794,6.025151250383589,59
3.4794157597141644,5.972666334683335,60
3.4957832184478352,5.993182660057153,61
3.55547501060984,5.9911822286027405,62
3.4875297320596985,6.075504861755415,63
3.510495989697933,5.984968777685492,64
3.438639246718443,6.050016415766769,65
3.5242144534734474,6.019430332089123,66
3.596254642982886,5.9745000217122275,67
3.465988549894401,6.0255070658350744,68
3.4781617474812365,6.115969633710744,69
3.530376358093342,5.956487036862889,70
3.5317716399919696,6.016549876767613,71
3.494221438117639,5.960398695234302,72
3.510360132067686,6.012494630074655,73
3.56560998518852,6.035196132773784,74
3.456696148732136,5.960950354016848,75
3.4941395613637107,6.014285348407513,76
3.5263483978732486,6.023236415489253,77
3.534409253509909,5.929670716806323,78
3.496806803679499,5.993801001957994,79
3.4949245312819976,5.953764959374674,80
3.4796314829637818,6.010980245006954,81
3.4784376900398146,5.917056512246658,82
3.4464766299310465,6.006243766427202,83
3.490592971915313,6.024650434923559,84
3.417579070813587,5.981758392965156,85
3.4117107147772665,5.995566368136395,86
3.5368669666428283,6.079070045578369,87
3.515040864102518,6.0875965959729665,88
3.471799439541485,5.980098502461141,89
3.544102888076805,6.004918621043645,90
3.506083287019205,6.003195162248945,91
3.5035355735351597,5.988992530238256,92
3.4455103069517046,5.99130316594832,93
3.4803418105456965,5.936386821865653,94
3.5484927949583764,5.937852329001431,95
3.5462658137620684,6.089323291164552,96
3.532243355705433,5.937471471288105,97
3.484412356407881,5.950058032218131,98
3.4943667405570666,5.91652843699469,99
3.5066712151550252,5.917480788612032,100
3.467556105784235,5.969631740918611,101
3.468296045876436,5.985978522259257,102
3.503992593799783,6.015680974926541,103
3.51870716482508,6.025806198330935,104
3.5295614200672767,6.058920501339145,105
3.544742381949098,5.8735428203771995,106
3.4241156210642183,6.04952731617479,107
3.5006968826075076,6.052017687421917,108
3.496254111183901,6.006734225902475,109
3.4779374415797215,5.98799289626788,110
3.501210670626782,6.006698486255962,111
3.4839210760621975,5.991115578993267,112
3.5075967509248116,5.990965335423271,113
3.4556299617209323,5.985906693645081,114
3.514751796817232,5.96672484973439,115
3.4706250214922827,5.991226270063652,116
3.48492548836985,6.02340283338174,117
3.5096036831427795,6.009840810342403,118
3.5173296124697178,6.042190586700186,119
3.423726741006909,6.018591160820324,120
3.5176183755596546,6.0130371262754085,121
3.428998680550529,6.046326097630065,122
3.549179248626966,6.052104524477158,123
3.5660592431438944,5.95462579823673,124
3.4584826169115503,5.947013375853852,125
3.477164568125388,6.01487685860266,126
3.459410633665446,6.01650654275866,127
3.5041382883313967,5.995528317761509,128
3.48675905590755,6.010879575477542,129
3.4447211624722396,6.0567037376617074,130
3.5284083777394937,6.089051051574955,131
3.4515219824075656,5.958198040108561,132
3.4936045632086943,6.031567917706155,133
3.5124748149421308,6.036260734961966,134
3.512862497500194,5.976356287436242,135
3.445784077829727,5.969007440107012,136
3.488468358434366,5.987316912721704,137
3.547915944369421,5.966771494021972,138
3.464865109410139,5.979153036610502,139
3.533622881767466,6.024052337447944,140
3.427967890215177,5.956360749341149,141
3.487960811897353,5.935875501654118,142
3.5197900196565914,5.93883460226819,143
3.4841071846223133,6.064174070666274,144
3.5068859785856543,6.039013849512493,145
3.513123260045568,5.985631304116216,146
3.4989202771459946,5.968294816305516,147
3.435081081362621,5.9683860643023845,148
3.4573046303301904,5.98282474905493,149
3.45611873776885,5.987620731791818,150
3.514829623356278,5.929681207177686,151
