iter,k,mse_est,mse_true
184,151,3283.523260446859,3355.1484546295337
185,161,3286.069034209781,3344.349529055486
186,191,3248.6171966138663,3337.7837574649857
187,141,3356.769920707718,3343.573613227383
188,191,3278.8644537552,3347.0379369279667
189,81,3374.099720704614,3374.985801843981
190,191,3360.4398248091206,3333.1027418828517
191,191,3185.1306599062837,3346.955693845454
192,61,3338.062701679968,3380.73625415603
193,191,3322.506514432039,3343.699903909594
194,191,3227.423597372275,3342.5485885188896
195,181,3381.362606641023,3338.669358117008
196,191,3270.6787488751966,3339.446749240922
197,191,3405.9959185340313,3334.8817377794703
198,171,3329.6951361742626,3351.771773188598
199,191,3392.797930944375,3338.1039337160523
200,191,3413.3174426419587,3349.594452855015
201,151,3239.865066417138,3354.4411793497225
202,191,3318.775837687497,3336.719944923586
203,191,3355.0065168266365,3340.9771618874956
204,181,3328.409928475813,3340.914256080946
205,191,3382.910952668762,3338.3233677751564
206,191,3267.366352067363,3341.4092157000646
207,141,3237.1729527847015,3354.641920532348
208,191,3295.7897338684106,3342.7298677607914
209,171,3301.080032602049,3339.5370109323135
210,171,3408.1610093419276,3336.9505121315437
211,171,3462.8687470888403,3333.831847191675
212,181,3361.570939939175,3340.188699916874
213,161,3357.236021942148,3342.3777919623376
214,101,3308.0352633481507,3376.2421163128174
215,171,3423.3449347980672,3344.978122628422
216,171,3285.140727649471,3346.872899358973
217,151,3325.759163684764,3339.8467439201554
218,141,3357.3738506824193,3348.468439801283
219,121,3329.312036474763,3348.60961017301
220,161,3337.933368427295,3342.3123284123076
221,171,3330.7454095313446,3330.627612742297
222,181,3323.034794967007,3338.4556227461903
223,171,3289.142980831793,3355.8905226512184
224,181,3345.105593445015,3336.3847337330767
225,191,3381.8712128828547,3340.1376236961933
226,171,3419.161671270097,3340.2468518419983
227,191,3214.130080320478,3346.298073922087
228,111,3259.301102038904,3355.32009368595
229,181,3425.9167545602954,3336.3867066317976
230,191,3243.280011530777,3339.3417278814372
231,101,3325.848281085852,3359.532825995006
232,181,3360.6044007322803,3337.9971741043755
233,191,3387.346553386005,3333.180126005719
234,191,3426.759675710624,3342.2122346775877
235,141,3424.444834599567,3344.938281267907
236,141,3318.8070160471907,3348.617697107891
237,191,3239.482402370083,3343.596013031946
238,191,3419.5654651239383,3331.7876957447356
239,141,3260.282600026177,3360.4165830180405
